Nickname,License Plate,Model,Status,Year,Kilometers,Branch Office,Date Start of Activity,VIN (Vehicle Identification Number),Location,Type of service,Financial Responsibility Of,Engine number
Prius,RO222XV,Prius,Delivered,2015,123,Tbilisi International Airport,8/7/2025,,,There are no services,,
PRIUS,RR279SR,Prius,Free,2014,130000,Tbilisi International Airport,3/1/2024,,,There are no services,,
Sienna,RR743RC,Sienna,Free,2016,123,Tbilisi International Airport,7/27/2025,,,There are no services,,
Fusion,RT380TT,Fusion,Delivered,2018,123,Tbilisi International Airport,6/13/2025,,,There are no services,,
RUSH@-1,RUSH@-1,Rush,Free,0,0,Tbilisi International Airport,8/3/2024,,,There are no services,,
Prius,RV179RVVVV,Prius,Free,2015,123,Tbilisi International Airport,7/16/2024,,,There are no services,,
SABACHERO,SABA,Jeep Cherokee,Free,2015,123,Tbilisi International Airport,7/7/2024,,,There are no services,,
optima,SH005RK,Optima,Free,2021,0,Tbilisi International Airport,7/15/2025,,,There are no services,,
K5,SH007RK,Optima,Delivered,2022,123,Tbilisi International Airport,8/12/2025,,,There are no services,,
Prius 4TH,SH505LK,Prius,Delivered,2021,123,Tbilisi International Airport,8/18/2025,,,There are no services,,
PRIUS C,SS913NN,Prius C,Free,0,155545,Tbilisi International Airport,3/1/2024,,,There are no services,,
t-1,T-1,Attrage,Free,0,0,Tbilisi International Airport,5/8/2025,,,There are no services,,
Tucson,TN997TT,Tucson,Free,2020,123,Tbilisi International Airport,8/10/2025,,,There are no services,,
Forester,TP491PP,Forester,Free,2019,12,Tbilisi International Airport,7/26/2024,,,There are no services,,
Sport,TS397SS,Outlander sport,Free,2014,123,Tbilisi International Airport,6/7/2024,,,There are no services,,
Siena,TT191FT,Sienna,Free,2016,123,Tbilisi International Airport,7/24/2025,,,There are no services,,
Yaris,TT704KK,Yaris,Delivered,2016,123,Tbilisi International Airport,6/22/2024,,,There are no services,,
Fusion,TT915VT,Fusion,Free,2016,123,Tbilisi International Airport,7/18/2025,,,There are no services,,
Renegade,TX074TT,Renegade,Delivered,2019,123,Tbilisi International Airport,6/5/2025,,,There are no services,,
Optima,UN029UU,Optima,Free,2020,338234,Tbilisi International Airport,4/14/2025,,,There are no services,,
FORESTER,UN405UU,Forester,Delivered,2017,130000,Tbilisi International Airport,4/24/2025,,,There are no services,,
Corolla,US594SU,Corolla,Delivered,2016,1464940,Tbilisi International Airport,6/8/2024,,,There are no services,,
Sienna,UU340MU,Sienna,Delivered,2015,195771,Tbilisi International Airport,3/1/2024,,,There are no services,,
